"","REVPERCUST","salepercamp","PRE2009SALES","PRE2009TRANSACTIONS","cum15QTY","QTY15","cum15TOTAMT","TOTAMT15","SUM_MAIL_15","TOTAL_MAIL_15","RESPONSE16","salepertrans","CHANNEL_ACQUISITION","BUYER_STATUS","DEBIT_CC","MAJOR_CC","COMPUTER_ELECTRONIC","INC_SCS_AMT_V4","INC_WIOUTSCS_V4","INC_WITHSCS_V4","INC_WOUTSCS_AMT_4","FIPSCNTY","MED_INC","MED_FAMINCOM","P_CAPITA_INCOM","AVG_COMMUTETIM","MED_HOME","CUR_EST_MED_INC","STATE_INC_INDEX","STATE_INC_DECILES","EXAGE","ADULT1_G","MARRIED","ETHNIC_MATCH","HOMEOWNR","ADD_TYPE","LOR1","DUS","NUM_CHILD","NUMBADLT","IND_DMR","OCCUPATION_GROUP","IND_ED","PRESCHLD","CNTY_INC","MAILPREF","CHANNEL_DOMINANCE","SALES","ZONLINE","ZMOB","ZPRCHPHN","ZMOBMULT","ZHMDECOR","ZHOMEENT","ZKITCHEN","ZPRCHONL"
"1",-42,0,1962,9,0,0,0,0,0,14,"1",218,"RT","ACTIVE","U","U","U",125,"H","H",125,"031",85468,100832,35574,256,341619,115624,178,9,45,"U","1M","Y","Y","S",12,"A",2,2,"U","I01","54","Y",85,"N","A","N","Y","Y","U","Y","Y","U","U","Y"
"3",-6,0,960,4,0,0,0,0,0,2,"0",240,"RT","LAPSED","U","U","U",197,"J","J",197,"031",102217,114857,39643,293,420634,137980,202,9,56,"F","1M","Y","Y","S",9,"A",0,2,"U","I01","54","U",94,"N","A","N","U","U","U","U","U","U","U","U"
"6",241.8,76,615,6,2,0,228,0,0,3,"0",102.5,"RT","ACTIVE","U","U","U",128,"J","H",187,"031",89508,94974,34621,210,254247,107888,167,9,NA,"F","0U","Y","Y","S",27,"A",0,3,"U","I02","52","N",86,"N","C","H","Y","Y","U","Y","U","U","U","Y"
"8",59.868,29.94,441,3,4,0,59.88,0,0,2,"0",147,"RT","ACTIVE","U","U","U",122,"G","G",123,"031",99144,109252,45421,241,390089,150825,192,9,78,"F","5U","Y","Y","S",9,"A",0,1,"U","K06","13","N",84,"N","C","M","Y","Y","U","Y","Y","U","Y","Y"
"10",-3,0,1614,2,0,0,0,0,0,1,"0",807,"RT","LAPSED","U","U","U",78,"H","F",128,"031",77310,83378,42199,257,238749,99422,147,8,68,"U","1M","Y","Y","S",19,"A",0,4,"U","I06","52","N",65,"N","C","L","Y","Y","U","Y","Y","Y","U","Y"
"12",37.95,Inf,0,0,1,0,34.5,0,0,0,"0",NA,"RT","ACTIVE","U","U","U",100,"F","G",97,"111",58617,81249,28180,255,166802,108870,143,8,54,"M","1M","Y","Y","S",23,"A",1,3,"U","I02","12","Y",65,"N","C","U","Y","Y","U","Y","Y","U","Y","Y"
"14",-33,0,1323,2,0,0,0,0,1,11,"0",661.5,"RT","INACTIVE","U","U","U",250,"L","L",250,"031",244999,274166,114325,356,962765,361606,484,9,51,"F","0U","Y","Y","S",4,"A",0,3,"U","I01","54","N",99,"N","C","O","Y","Y","U","Y","Y","Y","Y","Y"
"19",-12,0,387,2,0,0,0,0,0,4,"0",193.5,"RT","INACTIVE","U","U","U",125,"H","H",125,"031",75693,88314,34973,278,331249,106943,155,8,39,"F","1M","Y","Y","S",16,"A",2,3,"U","K01","14","Y",85,"N","A","M","Y","Y","U","Y","Y","Y","Y","Y"
"24",185.835,13.99,822,6,1,0,209.85,0,1,15,"0",137,"IB","ACTIVE","U","U","U",95,"F","F",96,"111",77763,81033,23652,411,231578,91973,143,8,61,"F","1M","Y","Y","S",12,"A",0,3,"Y","K01","13","N",55,"N","A","M","Y","Y","U","Y","Y","Y","Y","Y"
"25",-39,0,1056,4,0,0,0,0,1,13,"0",264,"IB","LAPSED","U","U","U",192,"K","J",207,"031",97457,116754,50020,250,370348,142954,206,9,42,"F","1M","Y","Y","S",17,"A",2,2,"U","I01","54","Y",93,"N","A","F","Y","Y","U","Y","U","U","U","Y"
